,Number of accounts,Number of accounts
Jan 2553,"4,077,869","349,813"
Feb 2553,"4,153,849","364,195"
March 2553,"4,216,236","382,977"
April 2553,"3,404,136","390,105"
May 2553,"3,240,203","399,957"
June 2553,"3,312,223","416,588"
July 2553,"3,364,722","431,275"
August 2553,"3,418,371","449,719"
Sep 2553,"3,593,505","477,328"
Oct 2553,"4,651,981","494,956"
Nov 2553,"4,731,090","503,308"
Dec 2553,"4,822,947","519,450"
Jan 2554,"4,866,360","530,332"
Feb 2554,"4,936,356","543,882"
March 2554,"5,027,269","566,164"
April 2554,"5,131,027","573,436"
May 2554,"5,199,792","589,916"
June 2554,"5,333,601","622,640"
July 2554,"5,417,491","643,875"
August 2554,"5,371,290","664,305"
Sep 2554,"5,455,222","680,382"
Oct 2554,"5,669,342","690,566"
Nov 2554,"5,466,945","689,522"
Dec 2554,"5,626,192","706,439"
Jan 2555,"5,705,302","688,178"
Feb 2555,"5,968,926","703,228"
March 2555,"4,848,553","725,143"
April 2555,"5,836,547","731,731"
May 2555,"4,657,107","750,478"
June 2555,"6,051,554","764,689"
July 2555,"6,208,522","786,101"
August 2555,"6,309,726","801,920"
Sep 2555,"6,377,733","818,177"
Oct 2555,"6,468,322","835,174"
Nov 2555,"6,564,803","846,268"
Dec 2555,"6,645,161","864,312"
Jan 2556,"6,731,388","888,011"
Feb 2556,"6,810,097","925,386"
March 2556,"6,918,054","964,860"
April 2556,"7,000,598","969,977"
May 2556,"7,103,699","1,002,013"
June 2556,"7,198,890","1,025,827"
July 2556,"7,314,115","1,055,023"
August 2556,"7,625,829","1,088,971"
Sep 2556,"7,707,712","1,107,530"
Oct 2556,"7,830,643","1,133,019"
Nov 2556,"7,944,717","1,151,152"
Dec 2556,"8,033,061","1,164,796"
Jan 2557,"8,405,414","3,643,708"
Feb 2557,"8,509,788","3,817,895"
March 2557,"8,687,415","4,009,758"
April 2557,"8,890,066","4,160,314"
May 2557,"9,020,572","4,399,955"
June 2557,"9,173,729","4,724,854"
July 2557,"9,269,529","4,853,466"
August 2557,"9,420,368","5,155,138"
Sep 2557,"9,511,498","5,651,799"
Oct 2557,"9,684,664","5,939,392"
Nov 2557,"9,764,102","6,089,256"
Dec 2557,"9,960,419","6,229,960"
Jan 2558,"10,377,939","6,839,614"
Feb 2558,"10,523,844","7,033,584"
March 2558,"10,693,648","7,252,719"
